,corr_dist,corr_pearson,corr_reldist,corr_spearman,exp,mean_dist,mean_mindist,mean_pearson,mean_reldist,mean_slopedist,mean_slopedistT,mean_spearman
1094,1.6859047592,0.8378712771,0.6220511034,0.9399954115,simugaussS25,0.09574066020000001,0.6559955448,0.9578124951,0.8925371263,0.6841098649,0.6559955448,0.9761912775
1095,1.6859047592,0.8378712771,0.6212915847,0.9399954115,simugaussS25,0.09574066020000001,0.6559955448,0.9578124951,0.8925371263,0.6841098649,0.6559955448,0.9761912775
1096,1.6859047592,0.8378712771,0.6250095945,0.9399954115,simugaussS25,0.09574066020000001,0.6559955448,0.9578124951,0.8925371263,0.6841098649,0.6559955448,0.9761912775
1097,1.6859047592,0.8378712771,0.6273260432000001,0.9399954115,simugaussS25,0.09574066020000001,0.6559955448,0.9578124951,0.8925371263,0.6841098649,0.6559955448,0.9761912775
1098,1.6859047592,0.8378712771,0.6241608825,0.9399954115,simugaussS25,0.09574066020000001,0.6559955448,0.9578124951,0.8925371263,0.6841098649,0.6559955448,0.9761912775
1099,1.6859047592,0.8378712771,0.6240456973,0.9399954115,simugaussS25,0.09574066020000001,0.6559955448,0.9578124951,0.8925371263,0.6841098649,0.6559955448,0.9761912775
11,1.7584873307,0.8823096811000001,0.4266196882,0.48368333430000005,biocon,0.512691264,0.3296383458,0.885331972,0.4967777203,0.3296383458,0.9593762323,0.20267769230000002
110,2.44438289,0.9269241426,0.0903698055,0.3828105634,biocon,3.197841274,0.39311985050000003,0.8424229752,0.5021292876,0.39311985050000003,0.5315985228,0.9494651324000001
1100,1.2506062544,0.9358194354,0.8647816855,0.9258696246,simugaussS25,0.1148731155,0.6684391893,0.9688507219,0.6684391893,0.9779221491000001,0.9306495808,0.9436727815
1101,1.2506062544,0.9358194354,0.8621967503,0.9258696246,simugaussS25,0.1148731155,0.6684391893,0.9688507219,0.6684391893,0.9779221491000001,0.9306495808,0.9436727815
1102,1.2506062544,0.9358194354,0.8630552585,0.9258696246,simugaussS25,0.1148731155,0.6684391893,0.9688507219,0.6684391893,0.9779221491000001,0.9306495808,0.9436727815
1103,1.2506062544,0.9358194354,0.8685791805,0.9258696246,simugaussS25,0.1148731155,0.6684391893,0.9688507219,0.6684391893,0.9779221491000001,0.9306495808,0.9436727815
1104,1.2506062544,0.9358194354,0.8702723117000001,0.9258696246,simugaussS25,0.1148731155,0.6684391893,0.9688507219,0.6684391893,0.9779221491000001,0.9306495808,0.9436727815
1105,1.2506062544,0.9358194354,0.8629400335,0.9258696246,simugaussS25,0.1148731155,0.6684391893,0.9688507219,0.6684391893,0.9779221491000001,0.9306495808,0.9436727815
1106,1.2506062544,0.9358194354,0.8726128479,0.9258696246,simugaussS25,0.1148731155,0.6684391893,0.9688507219,0.6684391893,0.9779221491000001,0.9306495808,0.9436727815
1107,1.2506062544,0.9358194354,0.8637593827000001,0.9258696246,simugaussS25,0.1148731155,0.6684391893,0.9688507219,0.6684391893,0.9779221491000001,0.9306495808,0.9436727815
1108,1.2506062544,0.9358194354,0.8674818509000001,0.9258696246,simugaussS25,0.1148731155,0.6684391893,0.9688507219,0.6684391893,0.9779221491000001,0.9306495808,0.9436727815
1109,1.2506062544,0.9358194354,0.8707497454,0.9258696246,simugaussS25,0.1148731155,0.6684391893,0.9688507219,0.6684391893,0.9779221491000001,0.9306495808,0.9436727815
111,2.44438289,0.9269241426,0.08369465470000001,0.3828105634,biocon,3.197841274,0.3797045258,0.8424229752,0.3797045258,0.5435363675,0.7686124236,0.9494651324000001
1110,1.2506062544,0.9358194354,0.8657388799,0.9258696246,simugaussS25,0.1148731155,0.6684391893,0.9688507219,0.6684391893,0.9779221491000001,0.9306495808,0.9436727815
1111,1.2506062544,0.9358194354,0.8710241416000001,0.9258696246,simugaussS25,0.1148731155,0.6684391893,0.9688507219,0.6684391893,0.9779221491000001,0.9306495808,0.9436727815
1112,1.2506062544,0.9358194354,0.8614224604,0.9258696246,simugaussS25,0.1148731155,0.6684391893,0.9688507219,0.6684391893,0.9779221491000001,0.9306495808,0.9436727815
