,replica,i,j,beta_ij,E[beta_ij],A[beta_ij]
3763,67,1,5,0.32199731571168866,0.28800606540731566,0.26201047429098795
4892,87,2,7,0.32228878428510216,0.28801596402188095,0.32381090248108313
6795,121,2,6,0.32228878428510216,0.2880458221466976,0.41293399540062264
3970,70,7,1,0.3222559977585409,0.28808856164567853,0.5879050899741255
1641,29,2,4,0.32237118455632063,0.2881097567131371,0.36915150772362215
5279,94,2,1,0.3224247046274252,0.2881574408087551,0.516131778850116
179,3,1,5,0.3223378426000483,0.2881972100439355,0.34708286025358587
119,2,1,0,0.3224967832963987,0.28821492494573,0.2649055408904297
1475,26,2,6,0.3226143493059844,0.28824326207385886,0.4281685761626594
2418,43,1,4,0.3226143493059844,0.2882529161881397,0.43259708755789994
502,8,7,5,0.3229076042926746,0.2882645733622643,0.6054903657769711
4599,82,1,0,0.3230594240812525,0.28829189619218826,0.21492636748106875
4539,81,0,4,0.32287112744480717,0.28831185153323313,0.237862533816064
2513,44,7,0,0.3229623537634092,0.28837013590363064,0.47711914431092306
508,9,0,5,0.3229623537634092,0.28837853433294125,0.27018283080230965
4770,85,1,4,0.32269858982802624,0.2884643432087425,0.29395209003801953
4326,77,2,0,0.3235270381186791,0.288505756972692,0.4274803046674212
3819,68,1,5,0.3238480054480007,0.2885505817531479,0.43657287738251394
1471,26,2,1,0.3238482128306479,0.28856433107998414,0.3136097362976091
681,12,1,3,0.3238482128306479,0.2885693037680119,0.05366013488565978
2422,43,2,0,0.32427314022700154,0.28858035858415493,0.4561434221498376
2031,36,2,1,0.32380285781491064,0.2886411021140619,0.4892191671499673
8194,146,2,5,0.32380285781491064,0.2886520863161436,0.3493600796519239
5283,94,2,6,0.32380285781491064,0.2886525628001533,0.5247543177310029
2474,44,1,4,0.32380285781491064,0.2886539413451837,0.35706293607392153
8192,146,2,3,0.32380285781491064,0.28866119558853987,0.3482906522024226
2583,46,1,0,0.3236912191544884,0.28870814472787026,0.1413515056033522
8245,147,1,7,0.32414392592959695,0.28879651660130573,0.3737920485826087
2284,40,6,2,0.3244251464952121,0.2888433927388768,0.488312909802791
6059,108,1,5,0.32421514922013234,0.28894321211133067,0.3301053911107383
2820,50,2,7,0.3244166180128242,0.2889483372301063,0.280779513711216
2652,47,2,7,0.3249962782391649,0.2890339257627295,0.41593137116789025
3859,68,7,2,0.3251749053987134,0.28909509507423703,0.6117760689846179
3032,54,1,2,0.32579297888875336,0.28915613117496836,0.24550187983850794
4431,79,1,0,0.32597541090829646,0.2892497132739661,0.22962164509422384
6113,109,1,3,0.32589724129250314,0.2892635337029667,0.21334511184369956
4777,85,2,4,0.3260226630791298,0.2892903736642368,0.4593284204605095
